INSTNM,CITY,STABBR,MD_EARN_WNE_P10,DEBT_MDN,TUITIONFEE_IN
Puerto Rico Conservatory of Music,San Juan,PR,19474.0,8750.0,3370.0
Dewey University-Carolina,Carolina,PR,19761.0,5000.0,7630.0
Dewey University-Hato Rey,Hato Rey,PR,19761.0,5000.0,8180.0
Dewey University-Juana Diaz,Juana Diaz,PR,19761.0,5000.0,7630.0
Dewey University-Manati,Manati,PR,19761.0,5000.0,7630.0
Atenas University,Manati,PR,20231.0,6600.0,8954.0
Escuela Hotelera de San Juan,Hato Rey,PR,20854.0,3500.0,15462.0
CEM College-San Juan,San Juan,PR,21033.0,3700.0,12900.0
CEM College-Humacao,Humacao,PR,21033.0,3700.0,12900.0
Kentucky Mountain Bible College,Jackson,KY,21256.0,5500.0,10360.0
