INSTNM,CITY,STABBR,MD_EARN_WNE_P10,DEBT_MDN,TUITIONFEE_IN
Massachusetts Institute of Technology,Cambridge,MA,143372.0,12462.0,62396.0
Harvey Mudd College,Claremont,CA,138687.0,19500.0,68613.0
University of Health Sciences and Pharmacy in St. Louis,Saint Louis,MO,137047.0,14000.0,32550.0
Albany College of Pharmacy and Health Sciences,Albany,NY,131426.0,25000.0,41475.0
Franklin W Olin College of Engineering,Needham,MA,129455.0,14287.0,66398.0
California Institute of Technology,Pasadena,CA,128566.0,12000.0,65898.0
MCPHS University,Boston,MA,125557.0,25000.0,40530.0
Stanford University,Stanford,CA,124080.0,9851.0,65910.0
Babson College,Wellesley,MA,123938.0,19000.0,57152.0
Bentley University,Waltham,MA,120959.0,24007.0,61000.0
